model,group,cell,condition,accuracy,paired_success,log_loss,brier
old_reference,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-24,joint,shuffle,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-24,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-24,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-24,joint,shuffle,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-24,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
old_present,for-24,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
old_recency,for-24,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
old_reference,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
old_transition1,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
old_transition3,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired_absolute,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired_present,for-24,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-24,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
repaired_reference,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired_transition1,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired_transition3,for-24,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
old_absolute,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-25,matched,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,matched,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-25,matched,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
old_transition2,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-25,matched,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,matched,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-25,matched,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
repaired_transition2,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-25,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-25,timbre,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-25,timbre,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
old_transition2,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-25,timbre,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-25,timbre,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
repaired_transition2,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-25,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-25,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-25,duration,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
old_transition2,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-25,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-25,duration,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
repaired_transition2,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-25,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-25,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-25,joint,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
old_transition2,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-25,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-25,joint,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
repaired_transition2,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-25,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
old_present,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,joint,reset,0.0,0.0,2.1223490426911127,1.0444812499999996
old_reference,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
old_transition1,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
old_transition2,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
old_transition3,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_absolute,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_present,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,joint,reset,0.0,0.0,2.1223490426911127,1.0444812499999996
repaired_reference,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_transition1,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_transition2,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_transition3,for-25,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
old_absolute,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
old_present,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,joint,removal,0.0,0.0,2.1223490426911127,1.0444812499999996
old_reference,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
old_transition1,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
old_transition2,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
old_transition3,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_absolute,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_present,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,joint,removal,0.0,0.0,2.1223490426911127,1.0444812499999996
repaired_reference,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_transition1,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_transition2,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_transition3,for-25,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
old_absolute,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-25,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,joint,swap,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-25,joint,swap,0.5,0.0,0.6941076416550698,0.5000004800000002
old_transition2,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-25,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,joint,swap,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-25,joint,swap,0.5,0.0,0.6941076416550698,0.5000004800000002
repaired_transition2,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-25,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-25,joint,shuffle,0.0,0.0,2.0802818946775288,1.0621252925000002
old_recency,for-25,joint,shuffle,0.0,0.0,6.907755278982137,1.90245
old_reference,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-25,joint,shuffle,0.5,0.0,0.6941076416550698,0.5000004800000002
old_transition2,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-25,joint,shuffle,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired_recency,for-25,joint,shuffle,0.0,0.0,6.907755278982137,1.90245
repaired_reference,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-25,joint,shuffle,0.5,0.0,0.6941076416550698,0.5000004800000002
repaired_transition2,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-25,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
old_present,for-25,joint,ambiguous,0.0,0.0,2.0802818946775288,1.0621252925
old_recency,for-25,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
old_reference,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
old_transition1,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
old_transition2,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
old_transition3,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
repaired_absolute,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
repaired_present,for-25,joint,ambiguous,0.0,0.0,2.0802818946775288,1.0621252925
repaired_recency,for-25,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
repaired_reference,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
repaired_transition1,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
repaired_transition2,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
repaired_transition3,for-25,joint,ambiguous,0.5,0.0,0.6941076416550698,0.50000048
old_absolute,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-26,matched,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-26,matched,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-26,matched,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-26,matched,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-26,matched,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-26,matched,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-26,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-26,timbre,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-26,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-26,timbre,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-26,timbre,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-26,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-26,timbre,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-26,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-26,duration,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-26,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-26,duration,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-26,duration,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-26,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-26,duration,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-26,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-26,joint,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-26,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-26,joint,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-26,joint,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-26,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-26,joint,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-26,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-26,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
old_present,for-26,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-26,joint,reset,0.5,0.0,1.0293194621721604,0.5694812499999999
old_reference,for-26,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
old_transition1,for-26,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
old_transition2,for-26,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
